Date,Open,High,Low,Close,Adj Close,Volume
23/01/19,116.050003,117.339996,115.07,116.650002,116.036743,1286700
24/01/19,116.540001,118.279999,115.959999,117.419998,116.802696,959700
25/01/19,117.75,118.059998,117,117.110001,116.494324,1206400
28/01/19,115.800003,118.160004,115.370003,117.040001,116.42469,939600
29/01/19,117,117.849998,115.830002,117.080002,116.464485,732700
30/01/19,117.889999,120.089996,117.25,119.419998,118.792183,1114100
31/01/19,119.120003,120.860001,117.940002,119.25,118.62307,1289800
01/02/19,119.519997,122.059998,119.360001,121.970001,121.328773,1400700
04/02/19,121.779999,124.57,121.690002,123.540001,122.890518,1812400
05/02/19,124.239998,127.029999,123.93,126.209999,125.546486,2294300
06/02/19,126.599998,127.919998,125.360001,127.879997,127.207703,1858400
07/02/19,127.18,128.410004,126.279999,127.870003,127.197754,3283400
08/02/19,135,135.130005,129.059998,130.800003,130.11235,5798900
11/02/19,131,132,126.349998,126.629997,125.964272,2479000
12/02/19,127.639999,127.849998,125.860001,126.580002,125.914543,2603600
13/02/19,125.989998,127.5,125.080002,127.459999,126.789909,1632000
14/02/19,126.080002,127.809998,125.5,126.760002,126.093597,1253300
15/02/19,127.25,127.839996,126.440002,127.089996,126.421852,1488100
19/02/19,124.559998,128.619995,124.309998,128.25,127.57576,1410200
20/02/19,128.279999,129.669998,127.970001,128.589996,127.913963,951600
21/02/19,128.330002,128.809998,126.610001,128.100006,127.426552,1161700
22/02/19,128.279999,129.339996,126.720001,126.980003,126.312439,1190800
25/02/19,127.82,128.229996,125.739998,126.160004,125.49675,1444000
26/02/19,125.949997,128.320007,125.459999,127.559998,126.889389,1639600
27/02/19,126.900002,129.119995,126.650002,128.199997,127.526016,1628500
28/02/19,126.300003,126.919998,122.809998,123.309998,122.661728,2602400
01/03/19,125.18,125.839996,123.980003,125.269997,124.61142,1330900
04/03/19,126.040001,126.449997,123.620003,125,124.342842,1262700
05/03/19,125.059998,126.5,124.209999,125.970001,125.307747,1235000
06/03/19,125.93,127.5,124.629997,125.279999,124.938751,1363100
07/03/19,125,125.43,122.470001,123.160004,122.824532,1912600
08/03/19,121.769997,122.470001,120.709999,121.360001,121.029434,1242500
11/03/19,122.059998,122.07,120.330002,121.870003,121.538048,1633500
12/03/19,121.980003,122.290001,119.279999,120.550003,120.221642,1534400
13/03/19,120.519997,121.43,119.529999,120.480003,120.151833,1284800
14/03/19,121.019997,121.410004,120.139999,120.800003,120.470963,1088500
15/03/19,121.330002,122.290001,121.050003,121.559998,121.228882,1843700
18/03/19,121.449997,122.300003,120.879997,121.150002,120.820007,1857600
19/03/19,121.43,123.389999,121.150002,122.239998,121.907028,1339900
20/03/19,122.550003,123.029999,121.349998,122.470001,122.136406,1122200
21/03/19,122.489998,124.269997,122.040001,124.099998,123.761963,890300
22/03/19,123.699997,124.279999,121.559998,121.639999,121.30867,1219600
25/03/19,120.93,122.459999,120,122.080002,121.747475,1024500
26/03/19,123.169998,124.419998,122.040001,122.099998,121.76741,2181400
27/03/19,122.629997,122.629997,119.519997,119.800003,119.473686,1860600
28/03/19,120.019997,120.25,117.970001,119.059998,118.735695,1380400
29/03/19,119.849998,120.739998,118.93,119,118.675858,1688800
01/04/19,120.550003,120.809998,119.779999,120.25,119.922455,2331600
02/04/19,120,121.040001,119.849998,120.440002,120.111938,1953100
03/04/19,121.5,122.459999,121.050003,122.07,121.737495,1962100
04/04/19,122.230003,123.07,121.690002,122.550003,122.216194,794500
05/04/19,123.160004,124.089996,122.169998,122.5,122.166328,1080200
08/04/19,122.25,123.32,122.089996,123.209999,122.87439,1435900
09/04/19,123.110001,124.25,122.540001,123.940002,123.602409,908500
10/04/19,123.849998,124.349998,122.150002,124.160004,123.821808,752600
11/04/19,124.470001,125,123.940002,124.589996,124.250626,687400
